dataset,classifier,split,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,23,baseline,none,,0.8522727272727273,0.8245129621107532,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.01025849999859929
ionosphere,knn5,23,sfs,accuracy,0.9545454545454546,0.8522727272727273,0.8280991735537191,4,"f27,f5,f4,f12",160,0.6018685000017285
ionosphere,knn5,23,sfs,macro_f1,0.9485680888369374,0.8522727272727273,0.8280991735537191,4,"f27,f5,f4,f12",160,0.8353725000051782
ionosphere,knn5,23,sbs,accuracy,0.875,0.8409090909090909,0.8089330024813896,32,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f12,f13,f14,f15,f16,f17,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.7217538999975659
ionosphere,knn5,23,sbs,macro_f1,0.8545454545454545,0.8409090909090909,0.8089330024813896,32,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f12,f13,f14,f15,f16,f17,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.8709396000485867
ionosphere,knn5,23,random,accuracy,0.9431818181818182,0.9204545454545454,0.910763436187165,3,"f3,f4,f5",1156,6.902824499993585
ionosphere,knn5,23,random,macro_f1,0.9372772630078403,0.9204545454545454,0.910763436187165,3,"f3,f4,f5",1156,8.187782099994365
ionosphere,knn5,24,baseline,none,,0.8068181818181818,0.7596014783866303,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.010776599985547364
ionosphere,knn5,24,sfs,accuracy,0.9545454545454546,0.8977272727272727,0.8852672750977836,4,"f22,f3,f5,f1",160,0.5741005000309087
ionosphere,knn5,24,sfs,macro_f1,0.9485680888369374,0.8977272727272727,0.8852672750977836,4,"f22,f3,f5,f1",160,0.7663468000246212
ionosphere,knn5,24,sbs,accuracy,0.8863636363636364,0.8409090909090909,0.8089330024813896,31,"f2,f3,f4,f5,f6,f7,f9,f10,f11,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",131,0.92883950000396
ionosphere,knn5,24,sbs,macro_f1,0.8635235732009925,0.8409090909090909,0.8089330024813896,31,"f2,f3,f4,f5,f6,f7,f9,f10,f11,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",131,1.1178082000114955
ionosphere,knn5,24,random,accuracy,0.9318181818181818,0.8636363636363636,0.8397085610200364,6,"f4,f8,f13,f21,f25,f27",1156,6.292047199967783
ionosphere,knn5,24,random,macro_f1,0.9228521332554063,0.8636363636363636,0.8397085610200364,6,"f4,f8,f13,f21,f25,f27",1156,7.661201299983077
ionosphere,knn5,25,baseline,none,,0.8636363636363636,0.8397085610200364,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009030800021719187
ionosphere,knn5,25,sfs,accuracy,0.9090909090909091,0.7272727272727273,0.6724565756823822,2,"f25,f1",99,0.32016489998204634
